Particion;Umbral;Observaciones;Prevalencia;ROC-AUC;Average precision;Log-loss;Brier;Accuracy;Precisión;Recall;F1;TN;FP;FN;TP
train;0.5;27988;0.5040374446191225;0.9205676272907302;0.9269615478583068;0.3859077593478452;0.1212289611426074;0.8319636987280263;0.8414173685739181;0.8214361664421919;0.8313067183184476;11697;2184;2519;11588
train;0.3635011905542551;27988;0.5040374446191225;0.9205676272907302;0.9269615478583068;0.3859077593478452;0.1212289611426074;0.8065956838645134;0.750115074798619;0.9241511306443608;0.8280877822593451;9538;4343;1070;13037
valid;0.5;6869;0.4408210802154608;0.8349766924138056;0.8125470025226122;0.4931644265993287;0.1630867485396721;0.7606638520890959;0.750180766449747;0.6852708058124174;0.7162581981360028;3150;691;953;2075
valid;0.3635011905542551;6869;0.4408210802154608;0.8349766924138056;0.8125470025226122;0.4931644265993287;0.1630867485396721;0.7376619595283156;0.6666666666666666;0.809775429326288;0.7312854160453326;2615;1226;576;2452
test;0.5;6732;0.45573380867498514;0.8353194138821358;0.8178877801005694;0.4958773876794744;0.16407797181595837;0.7606951871657754;0.765391621129326;0.6848109517601043;0.7228625494581111;3020;644;967;2101
test;0.3635011905542551;6732;0.45573380867498514;0.8353194138821358;0.8178877801005694;0.4958773876794744;0.16407797181595837;0.7406417112299465;0.6819933920704846;0.8073663624511083;0.7394029850746269;2509;1155;591;2477
