TRAMO_ID,ANYO,PROVINCIA,VIA_NORM,TIPO_VIA,PK_INICIO,PK_FIN,LONGITUD,IMD_TOTAL,IMD_LIG,IMD_PES,VEH_KM,N_ACC,HUBO_ACCIDENTE,TASA_100M
46,2016,Burgos,A-11,Autopista libre y autovía,105.996,111.315,5.319,2987.0,1827.0,1160.0,5799066.3,1,1,17.244155
47,2016,Burgos,A-11,Autopista libre y autovía,111.315,113.557,2.242,2987.0,1827.0,1160.0,2444351.7,0,0,0.0
48,2016,Burgos,A-11,Autopista libre y autovía,113.557,119.504,5.947,2362.0,1402.0,960.0,5127087.1,0,0,0.0
49,2016,Soria,A-11,Autopista libre y autovía,209.87,211.07,1.2,4949.0,4645.0,304.0,2167662.0,0,0,0.0
50,2016,Soria,A-11,Autopista libre y autovía,211.07,218.11,7.04,3452.0,2135.0,1317.0,8870259.2,0,0,0.0
51,2016,Soria,A-11,Autopista libre y autovía,218.11,219.66,1.55,3452.0,2135.0,1317.0,1952969.0,0,0,0.0
52,2016,Valladolid,A-11,Autopista libre y autovía,344.48,347.29,2.81,10719.0,9353.0,1366.0,10993942.4,0,0,0.0
53,2016,Valladolid,A-11,Autopista libre y autovía,347.29,358.27,10.98,20648.0,18365.0,2283.0,82750989.6,1,1,1.208445
54,2016,Valladolid,A-11,Autopista libre y autovía,393.9,395.89,1.99,7124.0,5843.0,1281.0,5174517.4,1,1,19.325474
55,2016,Valladolid,A-11,Autopista libre y autovía,395.89,412.1,16.21,7124.0,5843.0,1281.0,42150214.6,2,1,4.744934
56,2016,Zamora,A-11,Autopista libre y autovía,412.1,424.9,12.8,6336.0,5312.0,1024.0,29601792.0,0,0,0.0
57,2016,Zamora,A-11,Autopista libre y autovía,424.9,447.62,22.72,6419.0,5483.0,936.0,53231483.2,1,1,1.878588
58,2016,Zamora,A-11,Autopista libre y autovía,447.62,455.85,8.23,7904.0,6738.0,1166.0,23743220.8,0,0,0.0
59,2016,Zamora,A-11,Autopista libre y autovía,461.0,463.0,2.0,5157.0,4363.0,794.0,3764610.0,0,0,0.0
