TRAMO_ID;anio;provincia;carretera;pk_inicio_km;pk_fin_km;imd_total;tipo_via;proporcion_pesados;EN_TEST_COMUN;MOTIVOS_EXCLUSION_EVALUACION;ESTADO_PREDICCION;PROB_ACCIDENTE_TRAMO_ANIO;FUERA_RANGO_TRAIN;INTERVALO_ID;CLAVE_TRAMO_ANIO;VERSION_MODELO;IMD_IMPUTADO
IMD_39205;2024;Madrid;A-1;87.5;90.5;25232.0;Autopista_autovia;0.1653059606848446;True;;OK;0.891447762591723;False;Madrid|A-1|87.5|90.5;Madrid|A-1|87.5|90.5|2024;v2 | Random Forest | Base;False
IMD_39206;2024;Madrid;A-1;90.5;95.6;25232.0;Autopista_autovia;0.1653059606848446;True;;OK;0.9686176135180972;False;Madrid|A-1|90.5|95.6;Madrid|A-1|90.5|95.6|2024;v2 | Random Forest | Base;False
IMD_39207;2024;Segovia;A-1;95.6;98.4;21302.0;Autopista_autovia;0.2588489343723594;True;;OK;0.5227300409351566;False;Segovia|A-1|95.6|98.4;Segovia|A-1|95.6|98.4|2024;v2 | Random Forest | Base;False
IMD_39208;2024;Segovia;A-1;98.4;100.4;21292.0;Autopista_autovia;0.2180631222994551;True;;OK;0.33178002504798504;False;Segovia|A-1|98.4|100.4;Segovia|A-1|98.4|100.4|2024;v2 | Random Forest | Base;False
IMD_39209;2024;Segovia;A-1;100.4;103.7;23917.0;Autopista_autovia;0.1738930467868043;True;;OK;0.5560965338554239;False;Segovia|A-1|100.4|103.7;Segovia|A-1|100.4|103.7|2024;v2 | Random Forest | Base;False
IMD_39210;2024;Segovia;A-1;103.7;109.1;21492.0;Autopista_autovia;0.1812302252000744;True;;OK;0.6150019063287171;False;Segovia|A-1|103.7|109.1;Segovia|A-1|103.7|109.1|2024;v2 | Random Forest | Base;False
IMD_39211;2024;Segovia;A-1;109.1;115.4;21492.0;Autopista_autovia;0.1812302252000744;True;;OK;0.6435533822836659;False;Segovia|A-1|109.1|115.4;Segovia|A-1|109.1|115.4|2024;v2 | Random Forest | Base;False
IMD_39212;2024;Segovia;A-1;115.4;116.8;17892.0;Autopista_autovia;0.2107086966241896;True;;OK;0.24259898250105935;False;Segovia|A-1|115.4|116.8;Segovia|A-1|115.4|116.8|2024;v2 | Random Forest | Base;False
IMD_39213;2024;Segovia;A-1;116.8;120.6;17892.0;Autopista_autovia;0.2107086966241896;True;;OK;0.5269475233324925;False;Segovia|A-1|116.8|120.6;Segovia|A-1|116.8|120.6|2024;v2 | Random Forest | Base;False
IMD_39214;2024;Segovia;A-1;120.6;123.3;20337.0;Autopista_autovia;0.1967841864581796;True;;OK;0.545196322017267;False;Segovia|A-1|120.6|123.3;Segovia|A-1|120.6|123.3|2024;v2 | Random Forest | Base;False
