PROV;ANYO;N_ACC;VEH_KM;pred_jerarquico
Burgos;2022;103;2883491884.4;124.3
Burgos;2023;94;2946261593.1;124.2
Burgos;2024;119;3009155045.0;126.9
Cantabria;2016;314;3253237146.8;
Cantabria;2017;356;3306648275.7;321.1
Cantabria;2018;308;3351404786.1;350.6
Cantabria;2019;369;3411401303.9;340.6
Cantabria;2021;273;2679473945.6;279.8
Cantabria;2022;263;3301344466.1;261.9
Cantabria;2023;292;3538416598.3;297.0
Cantabria;2024;295;3563253123.3;306.1
Castellón;2016;126;2143522259.7;
Castellón;2017;136;2231540723.9;151.1
Castellón;2018;162;2229221210.6;163.4
Castellón;2019;129;2302186244.9;161.0
Castellón;2021;140;1925624038.3;128.2
Castellón;2022;188;2751722948.5;186.5
Castellón;2023;241;2805117814.3;186.0
Castellón;2024;217;2885444915.8;214.3
Ciudad Real;2016;110;1834810131.4;
Ciudad Real;2017;107;1871757426.7;101.6
Ciudad Real;2018;111;1946539327.5;108.5
Ciudad Real;2019;91;1972479132.9;103.8
Ciudad Real;2021;87;1487134720.1;75.3
Ciudad Real;2022;102;1991894306.5;98.0
Ciudad Real;2023;86;2030653931.0;99.1
Ciudad Real;2024;92;2022583804.2;98.6
Cuenca;2016;106;2213526369.8;
Cuenca;2017;92;2328798975.2;106.0
Cuenca;2018;80;2376735779.7;111.9
Cuenca;2019;100;2481190344.5;108.3
Cuenca;2021;104;1725954702.4;76.9
Cuenca;2022;118;2526075415.8;107.5
Cuenca;2023;111;2524328900.8;106.1
Cuenca;2024;110;2534075646.2;108.1
Cáceres;2016;80;1752496420.0;
Cáceres;2017;80;1849433710.7;87.0
Cáceres;2018;78;1866194632.7;94.7
Cáceres;2019;106;1941907362.1;89.6
Cáceres;2021;92;1431145453.0;69.6
Cáceres;2022;92;1953571504.4;92.3
Cáceres;2023;74;1993314371.3;90.3
Cáceres;2024;94;2032807288.9;91.3
Cádiz;2016;236;2541074830.4;
Cádiz;2017;296;2771314973.1;245.9
Cádiz;2018;326;2706983622.3;288.4
Cádiz;2019;329;2773112175.2;267.9
Cádiz;2021;274;2145771458.7;219.1
Cádiz;2022;149;2749530302.8;252.1
Cádiz;2023;166;2804080789.6;198.4
Cádiz;2024;178;2932592761.4;228.4
Córdoba;2016;138;1850089530.6;
Córdoba;2017;139;1927133557.6;146.6
Córdoba;2018;147;1998428420.4;159.3
Córdoba;2019;163;2041713260.0;152.5
Córdoba;2021;115;1572195542.6;117.0
Córdoba;2022;159;2040728409.4;139.6
Córdoba;2023;128;2078009717.8;143.9
Córdoba;2024;164;2108072217.8;146.3
Girona;2016;278;2381435788.0;
Girona;2017;309;2444731979.1;281.0
Girona;2018;300;2506450696.7;326.4
Girona;2019;284;2546021103.1;292.2
Girona;2021;242;1853927050.7;203.2
Girona;2022;296;2787043519.2;277.7
Girona;2023;291;2862266198.6;295.6
